URL,CMS_Type
micensus.gov.in,Drupal
jharkhandhighcourt.nic.in,Drupal
www.keralapsc.gov.in,Drupal
rcmsmanipur.nic.in,Drupal
lddashboard.legislative.gov.in,WP
lddashboard.legislative.gov.in,WP
biharboardonline.bihar.gov.in,Drupal
culturedirectorate.kerala.gov.in,WP
josaa.nic.in,WP
lucknow.nic.in,WP
amravati.gov.in,WP
dcmsme.gov.in,Drupal
sagarmala.gov.in,Drupal
krishnanagarpd.wbpolice.gov.in,WP
nagaland.gov.in,Other CMS
tn.gov.in,Drupal
tourism.gov.in,Drupal
www.tnhealth.tn.gov.in,WP
neet.nta.nic.in,WP
cewacor.nic.in,Drupal
jeemain.nta.nic.in,WP
dae.gov.in,WP
dsir.gov.in,Drupal
dahd.nic.in,Drupal
chandigarh.gov.in,Drupal
steel.gov.in,Drupal
moes.gov.in,Drupal
dst.gov.in,Drupal
leh.nic.in,WP
commerce.gov.in,WP
fireservice.tripura.gov.in,Drupal
uttarkashi.gov.in,WP
guj.nic.in,WP
raebareli.nic.in,WP
stdd.kerala.gov.in,Drupal
mcc.nic.in,WP
aiapget.nta.nic.in,WP
del.nic.in,WP
www.hpsc.gov.in,Other CMS
state.bihar.gov.in,Other CMS
www.schooleducationharyana.gov.in,WP
www.greentribunal.gov.in,Drupal
mmscmsguy.assam.gov.in,Drupal
mnre.gov.in,WP
comtax.assam.gov.in,Drupal
hazaribag.nic.in,WP
banda.nic.in,WP
csirnet.nta.nic.in,WP
townplanning.kerala.gov.in,WP
upsc.gov.in,Drupal
haryana.gov.in,WP
daman.nic.in,WP
azamgarh.nic.in,WP
varanasi.nic.in,WP
indiancitizenshiponline.nic.in,Other CMS
csab.nic.in,WP
jkcomtax.gov.in,Drupal
naco.gov.in,Drupal
lsgkerala.gov.in,Drupal
legalservices.maharashtra.gov.in,WP
thanecity.gov.in,Other CMS
ananthapuramu.ap.gov.in,WP
wbjeeb.nic.in,WP
bihar.gov.in,Other CMS
tmc.gov.in,Joomla
imcindore.mp.gov.in,WP
transport.mp.gov.in,Drupal
statelottery.kerala.gov.in,Joomla
eprocure.gov.in,Drupal
nursingcouncil.kerala.gov.in,Joomla
wii.gov.in,Drupal
pune.gov.in,WP
jalna.nic.in,WP
buxar.bih.nic.in,WP
sultanpur.nic.in,WP
www.mhrdnats.gov.in,Drupal
keralaagriculture.gov.in,WP
hpsc.gov.in,Other CMS
advocategeneralhry.gov.in,Drupal
py.gov.in,Drupal
up.nic.in,WP
nie.gov.in,Joomla
afd.csdindia.gov.in,WP
thanjavur.nic.in,WP
